Consumption DK areas in MWh,,,
Data was last updated 10-03-2022,,,
,DK1,DK2,DK
01-01-2021,53155,35787,88942
02-01-2021,55846,37218,93064
03-01-2021,59427,38573,98000
04-01-2021,70874,43148,114022
05-01-2021,70171,43495,113666
06-01-2021,70007,43592,113599
07-01-2021,69538,43484,113022
08-01-2021,66414,43622,110036
09-01-2021,59505,38353,97858
10-01-2021,59211,40440,99651
11-01-2021,70265,43070,113335
12-01-2021,70679,42781,113460
13-01-2021,72972,45221,118193
14-01-2021,71488,44441,115929
15-01-2021,69688,43817,113505
16-01-2021,64844,41871,106715
17-01-2021,61994,41782,103776
18-01-2021,71342,43905,115247
19-01-2021,71017,43835,114852
20-01-2021,73064,42509,115573
21-01-2021,70563,41565,112128
22-01-2021,68108,42200,110308
23-01-2021,59748,39320,99068
24-01-2021,58874,38831,97705
25-01-2021,68535,42276,110811
26-01-2021,69937,43208,113145
27-01-2021,70380,43782,114162
28-01-2021,70782,44227,115009
29-01-2021,71020,45665,116685
30-01-2021,61704,42026,103730
31-01-2021,58826,40461,99287
01-02-2021,70400,43451,113851
02-02-2021,73267,44317,117584
03-02-2021,74165,45580,119745
04-02-2021,75370,46107,121477
05-02-2021,74208,47054,121262
06-02-2021,70665,45785,116450
07-02-2021,71655,47319,118974
08-02-2021,82290,48584,130874
09-02-2021,79283,48564,127847
10-02-2021,74862,47117,121979
11-02-2021,75634,48479,124113
12-02-2021,75416,48680,124096
13-02-2021,67139,45402,112541
14-02-2021,66840,44615,111455
15-02-2021,75494,47721,123215
16-02-2021,74306,46401,120707
17-02-2021,72438,45989,118427
18-02-2021,72214,45376,117590
19-02-2021,67930,43637,111567
20-02-2021,58728,41379,100107
21-02-2021,56179,38177,94356
22-02-2021,66706,41027,107733
23-02-2021,67358,40638,107996
24-02-2021,67592,40101,107693
25-02-2021,66302,38528,104830
26-02-2021,62525,39170,101695
27-02-2021,55423,36971,92394
28-02-2021,54040,36514,90554
01-03-2021,63584,40490,104074
02-03-2021,65882,42126,108008
03-03-2021,67328,42295,109623
04-03-2021,67278,41896,109174
05-03-2021,65068,42142,107210
06-03-2021,59282,39214,98496
07-03-2021,59261,40128,99389
08-03-2021,67260,42852,110112
09-03-2021,67428,42862,110290
10-03-2021,71371,42907,114278
11-03-2021,75301,44879,120180
12-03-2021,68628,42824,111452
13-03-2021,61093,40468,101561
14-03-2021,59415,38566,97981
15-03-2021,69893,41508,111401
16-03-2021,67869,40772,108641
17-03-2021,66635,40414,107049
18-03-2021,66826,40885,107711
19-03-2021,65678,41142,106820
20-03-2021,60415,39426,99841
21-03-2021,59934,36962,96896
22-03-2021,65773,39770,105543
23-03-2021,62318,39627,101945
24-03-2021,57390,38156,95546
25-03-2021,58513,37628,96141
26-03-2021,54412,36487,90899
27-03-2021,50935,35778,86713
28-03-2021,49344,34943,84287
29-03-2021,58359,39407,97766
30-03-2021,58566,36663,95229
31-03-2021,60608,36485,97093
01-04-2021,54945,34949,89894
02-04-2021,54485,34897,89382
03-04-2021,52789,34782,87571
04-04-2021,53345,36025,89370
05-04-2021,59378,38489,97867
06-04-2021,68439,40769,109208
07-04-2021,69186,41029,110215
08-04-2021,69473,40687,110160
09-04-2021,66218,40278,106496
10-04-2021,54648,35618,90266
11-04-2021,60861,38094,98955
12-04-2021,67489,39850,107339
13-04-2021,67861,39915,107776
14-04-2021,65583,39171,104754
15-04-2021,64811,38582,103393
16-04-2021,61491,37843,99334
17-04-2021,52999,34250,87249
18-04-2021,51275,33670,84945
19-04-2021,59997,36198,96195
20-04-2021,60607,36870,97477
21-04-2021,64962,37394,102356
22-04-2021,67737,37374,105111
23-04-2021,61770,36676,98446
24-04-2021,55280,33948,89228
25-04-2021,53806,34199,88005
26-04-2021,63818,38498,102316
27-04-2021,65589,38330,103919
28-04-2021,63561,36913,100474
29-04-2021,63418,38038,101456
30-04-2021,53974,34090,88064
01-05-2021,51774,33385,85159
02-05-2021,53147,33284,86431
03-05-2021,62980,37926,100906
04-05-2021,69081,39601,108682
05-05-2021,67248,39123,106371
06-05-2021,66813,38715,105528
07-05-2021,63138,37691,100829
08-05-2021,55152,33959,89111
09-05-2021,55039,33064,88103
10-05-2021,61818,34758,96576
11-05-2021,62850,35365,98215
12-05-2021,61724,35434,97158
13-05-2021,53997,32527,86524
14-05-2021,54429,33083,87512
15-05-2021,52015,31805,83820
16-05-2021,52289,31306,83595
17-05-2021,60388,34659,95047
18-05-2021,60071,35109,95180
19-05-2021,60667,34772,95439
20-05-2021,61448,35118,96566
21-05-2021,62021,35360,97381
22-05-2021,54946,33335,88281
23-05-2021,52979,32727,85706
24-05-2021,53245,31978,85223
25-05-2021,61818,35582,97400
26-05-2021,67460,36510,103970
27-05-2021,64463,36150,100613
28-05-2021,59021,34542,93563
29-05-2021,50160,30791,80951
30-05-2021,49667,30371,80038
31-05-2021,58108,33549,91657
