Production DK areas in MWh,,,
Data was last updated 08-02-2017,,,
,DK1,DK2,DK
01-01-2015,90984,37206,128190
02-01-2015,97037,38681,135718
03-01-2015,86417,38122,124539
04-01-2015,76641,36369,113010
05-01-2015,58249,28724,86973
06-01-2015,71903,29825,101728
07-01-2015,78865,33558,112423
08-01-2015,90262,38591,128853
09-01-2015,99400,42573,141973
10-01-2015,81511,32071,113582
11-01-2015,83536,36636,120172
12-01-2015,94797,38799,133596
13-01-2015,72384,34144,106528
14-01-2015,77378,35801,113179
15-01-2015,102760,40576,143336
16-01-2015,99866,38354,138220
17-01-2015,80169,33130,113299
18-01-2015,57538,28527,86065
19-01-2015,64977,26319,91296
20-01-2015,67975,23415,91390
21-01-2015,62102,21057,83159
22-01-2015,53519,20750,74269
23-01-2015,69522,22189,91711
24-01-2015,83857,31552,115409
25-01-2015,57883,24227,82110
26-01-2015,83291,34448,117739
27-01-2015,76650,31026,107676
28-01-2015,96818,39548,136366
29-01-2015,76986,41751,118737
30-01-2015,58943,26191,85134
31-01-2015,55693,29318,85011
01-02-2015,64226,33324,97550
02-02-2015,69731,33080,102811
03-02-2015,72869,26990,99859
04-02-2015,73258,27503,100761
05-02-2015,58761,25582,84343
06-02-2015,66352,20265,86617
07-02-2015,102728,34872,137600
08-02-2015,82813,37352,120165
09-02-2015,87330,30498,117828
10-02-2015,79103,28814,107917
11-02-2015,69069,27233,96302
12-02-2015,64629,26412,91041
13-02-2015,62429,25837,88266
14-02-2015,59972,27822,87794
15-02-2015,89683,39094,128777
16-02-2015,88551,34998,123549
17-02-2015,71318,25940,97258
18-02-2015,97391,32997,130388
19-02-2015,100270,31818,132088
20-02-2015,73678,30951,104629
21-02-2015,42851,27804,70655
22-02-2015,68056,29743,97799
23-02-2015,84437,35554,119991
24-02-2015,81281,35321,116602
25-02-2015,52564,30095,82659
26-02-2015,70788,30725,101513
27-02-2015,45784,26516,72300
28-02-2015,70748,27657,98405
01-03-2015,79812,35419,115231
02-03-2015,63309,35363,98672
03-03-2015,63778,32375,96153
04-03-2015,58019,28668,86687
05-03-2015,58648,28426,87074
06-03-2015,57901,27945,85846
07-03-2015,80692,33277,113969
08-03-2015,67740,30384,98124
09-03-2015,43752,26225,69977
10-03-2015,75105,26892,101997
11-03-2015,52164,26796,78960
12-03-2015,44097,25661,69758
13-03-2015,45008,29007,74015
14-03-2015,54125,30979,85104
15-03-2015,53651,32454,86105
16-03-2015,71070,32127,103197
17-03-2015,56380,28650,85030
18-03-2015,45397,30534,75931
19-03-2015,47526,23649,71175
20-03-2015,54293,20950,75243
21-03-2015,62446,25972,88418
22-03-2015,45551,20262,65813
23-03-2015,63856,24490,88346
24-03-2015,52557,20634,73191
25-03-2015,50340,27212,77552
26-03-2015,58910,22720,81630
27-03-2015,43945,19033,62978
28-03-2015,65109,22085,87194
29-03-2015,43134,23975,67109
30-03-2015,80215,30593,110808
31-03-2015,70776,32208,102984
01-04-2015,89446,35727,125173
02-04-2015,74198,30631,104829
03-04-2015,50965,25400,76365
04-04-2015,38767,21227,59994
05-04-2015,36789,20250,57039
06-04-2015,32064,17829,49893
07-04-2015,65148,26784,91932
08-04-2015,58356,22013,80369
09-04-2015,53610,21519,75129
10-04-2015,42320,17647,59967
11-04-2015,56570,20959,77529
12-04-2015,71828,25086,96914
13-04-2015,83251,32256,115507
14-04-2015,71099,27986,99085
15-04-2015,76626,29578,106204
16-04-2015,81665,28945,110610
17-04-2015,56976,24911,81887
18-04-2015,32560,17962,50522
19-04-2015,34269,16581,50850
20-04-2015,38110,17873,55983
21-04-2015,63557,20536,84093
22-04-2015,48736,13876,62612
23-04-2015,59550,18959,78509
24-04-2015,50265,11576,61841
25-04-2015,48294,13866,62160
26-04-2015,32033,12060,44093
27-04-2015,54296,12083,66379
28-04-2015,51054,18409,69463
29-04-2015,59735,21562,81297
30-04-2015,43489,20971,64460
01-05-2015,27164,14797,41961
02-05-2015,35654,14454,50108
03-05-2015,45311,19873,65184
04-05-2015,60808,17245,78053
05-05-2015,69579,21978,91557
06-05-2015,70434,16570,87004
07-05-2015,72672,22220,94892
08-05-2015,43660,11540,55200
09-05-2015,54448,16661,71109
10-05-2015,59461,22553,82014
11-05-2015,63612,18161,81773
12-05-2015,52023,16972,68995
13-05-2015,71773,26871,98644
14-05-2015,27788,15532,43320
15-05-2015,25856,11373,37229
16-05-2015,50667,16162,66829
17-05-2015,71069,25568,96637
18-05-2015,47862,15652,63514
19-05-2015,59177,17291,76468
20-05-2015,45238,14436,59674
21-05-2015,39229,12112,51341
22-05-2015,52512,11330,63842
23-05-2015,48452,12033,60485
