Consumption DK areas in MWh,,,
Data was last updated 10-03-2022,,,
,DK1,DK2,DK
01-01-2020,49946,34557,84503
02-01-2020,61121,39526,100647
03-01-2020,61620,39371,100991
04-01-2020,56563,37087,93650
05-01-2020,53526,37317,90843
06-01-2020,65324,40678,106002
07-01-2020,64918,41134,106052
08-01-2020,66663,40718,107381
09-01-2020,66167,41272,107439
10-01-2020,63294,40306,103600
11-01-2020,57177,37767,94944
12-01-2020,54837,37325,92162
13-01-2020,65671,40886,106557
14-01-2020,66481,41466,107947
15-01-2020,66569,40150,106719
16-01-2020,66495,40234,106729
17-01-2020,62160,39572,101732
18-01-2020,56282,36575,92857
19-01-2020,54697,36267,90964
20-01-2020,64932,41064,105996
21-01-2020,66547,40262,106809
22-01-2020,65135,40451,105586
23-01-2020,64906,41344,106250
24-01-2020,61869,40046,101915
25-01-2020,53206,36680,89886
26-01-2020,53033,36545,89578
27-01-2020,63993,40854,104847
28-01-2020,66081,41037,107118
29-01-2020,66898,41448,108346
30-01-2020,68012,40929,108941
31-01-2020,64446,39881,104327
01-02-2020,57727,35706,93433
02-02-2020,54078,35473,89551
03-02-2020,60850,39652,100502
04-02-2020,63979,40786,104765
05-02-2020,66853,41786,108639
06-02-2020,66564,41862,108426
07-02-2020,62553,41940,104493
08-02-2020,55818,37639,93457
09-02-2020,58606,38055,96661
10-02-2020,68073,40657,108730
11-02-2020,69995,41761,111756
12-02-2020,69631,41661,111292
13-02-2020,65834,40647,106481
14-02-2020,62436,39201,101637
15-02-2020,57676,36947,94623
16-02-2020,57880,35739,93619
17-02-2020,67251,39543,106794
18-02-2020,66639,40917,107556
19-02-2020,66372,40349,106721
20-02-2020,66184,41159,107343
21-02-2020,62647,39791,102438
22-02-2020,55664,37423,93087
23-02-2020,56195,37686,93881
24-02-2020,65217,40394,105611
25-02-2020,66620,40794,107414
26-02-2020,66538,41434,107972
27-02-2020,67015,41687,108702
28-02-2020,63704,40617,104321
29-02-2020,57038,37533,94571
01-03-2020,55254,36776,92030
02-03-2020,60742,39662,100404
03-03-2020,62680,40553,103233
04-03-2020,63903,39637,103540
05-03-2020,64879,39999,104878
06-03-2020,67679,40146,107825
07-03-2020,58314,35623,93937
08-03-2020,63174,36319,99493
09-03-2020,62155,38386,100541
10-03-2020,65884,40632,106516
11-03-2020,63601,38523,102124
12-03-2020,65371,39237,104608
13-03-2020,62549,39559,102108
14-03-2020,54568,35577,90145
15-03-2020,54494,35944,90438
16-03-2020,60649,37076,97725
17-03-2020,62844,37838,100682
18-03-2020,62439,38255,100694
19-03-2020,60488,36805,97293
20-03-2020,58286,36873,95159
21-03-2020,53910,36028,89938
22-03-2020,52776,35978,88754
23-03-2020,62758,37885,100643
24-03-2020,62155,36445,98600
25-03-2020,61170,36202,97372
26-03-2020,60433,36266,96699
27-03-2020,57862,35362,93224
28-03-2020,51769,34055,85824
29-03-2020,49995,34222,84217
30-03-2020,60015,36984,96999
31-03-2020,61492,36661,98153
01-04-2020,61709,36455,98164
02-04-2020,60973,37236,98209
03-04-2020,58052,36045,94097
04-04-2020,52241,32272,84513
05-04-2020,50464,32967,83431
06-04-2020,56281,34411,90692
07-04-2020,55497,33095,88592
08-04-2020,55436,33162,88598
09-04-2020,48386,30916,79302
10-04-2020,48270,31407,79677
11-04-2020,49267,31743,81010
12-04-2020,45434,30068,75502
13-04-2020,49236,32971,82207
14-04-2020,57404,35031,92435
15-04-2020,56664,35606,92270
16-04-2020,56413,34475,90888
