Production DK areas in MWh,,,
Data was last updated 12-01-2016,,,
,DK1,DK2,DK
01-01-2014,68086,29339,97425
02-01-2014,80700,34872,115572
03-01-2014,83057,34197,117254
04-01-2014,79802,30851,110653
05-01-2014,55164,22765,77929
06-01-2014,87569,34600,122169
07-01-2014,92509,37947,130456
08-01-2014,89493,34367,123860
09-01-2014,82216,36330,118546
10-01-2014,86029,44105,130134
11-01-2014,83718,37563,121281
12-01-2014,75520,36628,112148
13-01-2014,91906,37166,129072
14-01-2014,67487,33240,100727
15-01-2014,86956,33571,120527
16-01-2014,110447,44824,155271
17-01-2014,95688,38223,133911
18-01-2014,109386,42865,152251
19-01-2014,112705,50731,163436
20-01-2014,110056,49343,159399
21-01-2014,88564,40724,129288
22-01-2014,103303,45288,148591
23-01-2014,114458,47540,161998
24-01-2014,109741,45646,155387
25-01-2014,113973,43057,157030
26-01-2014,110907,43659,154566
27-01-2014,107764,41120,148884
28-01-2014,111743,37461,149204
29-01-2014,110639,43024,153663
30-01-2014,98285,41340,139625
31-01-2014,92678,39437,132115
01-02-2014,99151,38711,137862
02-02-2014,87846,32776,120622
03-02-2014,70777,32079,102856
04-02-2014,74397,31774,106171
05-02-2014,79685,29748,109433
06-02-2014,91866,33537,125403
07-02-2014,95143,38091,133234
08-02-2014,89519,36639,126158
09-02-2014,90215,37039,127254
10-02-2014,73177,29985,103162
11-02-2014,59657,27401,87058
12-02-2014,86764,32733,119497
13-02-2014,97373,34244,131617
14-02-2014,79910,29212,109122
15-02-2014,101621,41570,143191
16-02-2014,91405,40466,131871
17-02-2014,78340,31824,110164
18-02-2014,66790,28666,95456
19-02-2014,54849,25622,80471
20-02-2014,74881,32258,107139
21-02-2014,67263,34595,101858
22-02-2014,89739,38278,128017
23-02-2014,89536,37923,127459
24-02-2014,81015,39943,120958
25-02-2014,64330,33950,98280
26-02-2014,54992,26548,81540
27-02-2014,60017,24582,84599
28-02-2014,46631,25840,72471
01-03-2014,33294,23032,56326
02-03-2014,62246,24609,86855
03-03-2014,84519,33421,117940
04-03-2014,55014,24294,79308
05-03-2014,49137,22694,71831
06-03-2014,72437,25929,98366
07-03-2014,98559,32571,131130
08-03-2014,62430,25030,87460
09-03-2014,71803,29203,101006
10-03-2014,53760,25718,79478
11-03-2014,42564,22207,64771
12-03-2014,47924,23128,71052
13-03-2014,53405,23746,77151
14-03-2014,75914,28750,104664
15-03-2014,92433,34767,127200
16-03-2014,80285,28411,108696
17-03-2014,90291,32786,123077
18-03-2014,72752,28871,101623
19-03-2014,83321,30523,113844
20-03-2014,93152,33469,126621
21-03-2014,68055,23190,91245
22-03-2014,67172,23292,90464
23-03-2014,45608,21291,66899
24-03-2014,40172,19076,59248
25-03-2014,54447,19858,74305
26-03-2014,76673,24150,100823
27-03-2014,52629,24172,76801
28-03-2014,49354,26208,75562
29-03-2014,43315,21729,65044
30-03-2014,30088,18257,48345
31-03-2014,46279,19431,65710
01-04-2014,53488,24982,78470
02-04-2014,55350,29374,84724
03-04-2014,57190,27708,84898
04-04-2014,75339,35389,110728
05-04-2014,51615,22027,73642
06-04-2014,45961,21794,67755
07-04-2014,51140,23968,75108
08-04-2014,69152,30604,99756
09-04-2014,76679,34261,110940
10-04-2014,41711,24861,66572
11-04-2014,38800,20326,59126
12-04-2014,59888,20501,80389
13-04-2014,77190,31109,108299
14-04-2014,80427,29767,110194
15-04-2014,65975,29080,95055
16-04-2014,52169,19292,71461
17-04-2014,70758,23906,94664
18-04-2014,59004,18279,77283
19-04-2014,34548,18385,52933
20-04-2014,42964,24980,67944
21-04-2014,49985,22157,72142
22-04-2014,54070,21370,75440
23-04-2014,55172,22587,77759
24-04-2014,59058,24286,83344
25-04-2014,50203,21487,71690
26-04-2014,44857,18304,63161
27-04-2014,38619,17475,56094
28-04-2014,49081,18754,67835
29-04-2014,51352,14883,66235
30-04-2014,51555,16751,68306
01-05-2014,50803,17902,68705
02-05-2014,45774,17989,63763
03-05-2014,53837,18585,72422
04-05-2014,43473,19925,63398
05-05-2014,53489,19111,72600
06-05-2014,66720,24435,91155
07-05-2014,54204,20867,75071
08-05-2014,60947,24394,85341
09-05-2014,52091,21810,73901
10-05-2014,38770,21494,60264
11-05-2014,38668,26971,65639
12-05-2014,49105,27389,76494
13-05-2014,70265,29330,99595
14-05-2014,62280,22354,84634
15-05-2014,54354,13328,67682
16-05-2014,43000,12243,55243
17-05-2014,24571,10443,35014
18-05-2014,23740,9984,33724
19-05-2014,37168,18911,56079
20-05-2014,44653,18412,63065
21-05-2014,46891,20405,67296
22-05-2014,54762,22127,76889
23-05-2014,41094,15411,56505
24-05-2014,33206,11188,44394
25-05-2014,25659,8575,34234
26-05-2014,35749,13795,49544
27-05-2014,62459,23572,86031
28-05-2014,68089,26083,94172
29-05-2014,40745,14864,55609
30-05-2014,49053,20288,69341
31-05-2014,50430,15422,65852
01-06-2014,24834,10715,35549
02-06-2014,35887,12958,48845
03-06-2014,38668,13267,51935
04-06-2014,43662,13816,57478
05-06-2014,45583,15438,61021
06-06-2014,48332,15691,64023
07-06-2014,25483,8750,34233
08-06-2014,25521,9184,34705
09-06-2014,28699,10408,39107
10-06-2014,47239,14377,61616
11-06-2014,42491,11318,53809
12-06-2014,55156,16497,71653
13-06-2014,65248,19358,84606
14-06-2014,32625,11564,44189
15-06-2014,24949,8032,32981
16-06-2014,48936,8930,57866
17-06-2014,44193,10851,55044
18-06-2014,47521,13302,60823
19-06-2014,75711,23248,98959
20-06-2014,57297,17129,74426
21-06-2014,62067,21334,83401
22-06-2014,64300,19310,83610
23-06-2014,60050,20422,80472
24-06-2014,34574,11948,46522
25-06-2014,34543,11140,45683
26-06-2014,40502,11438,51940
27-06-2014,41650,12194,53844
28-06-2014,37511,11064,48575
29-06-2014,34575,9051,43626
30-06-2014,44730,13079,57809
01-07-2014,37980,12734,50714
02-07-2014,46210,15112,61322
03-07-2014,61191,15595,76786
04-07-2014,47971,12064,60035
05-07-2014,41785,10099,51884
06-07-2014,30603,10135,40738
07-07-2014,43276,14359,57635
08-07-2014,43311,15362,58673
