Consumption DK areas in MWh,,,
Data was last updated 01-01-2021,,,
,DK1,DK2,DK
01-01-2019,49044,35615,84659
02-01-2019,57386,41478,98864
03-01-2019,62170,42591,104761
04-01-2019,60710,41859,102569
05-01-2019,51778,37651,89429
06-01-2019,51695,38734,90429
07-01-2019,61371,41671,103042
08-01-2019,63384,42950,106334
09-01-2019,63487,44814,108301
10-01-2019,64437,44316,108753
11-01-2019,60214,42355,102569
12-01-2019,53992,39203,93195
13-01-2019,53969,38284,92253
14-01-2019,63973,43594,107567
15-01-2019,64274,43552,107826
16-01-2019,63256,42370,105626
17-01-2019,63390,42758,106148
18-01-2019,62214,43395,105609
19-01-2019,55133,40570,95703
20-01-2019,53941,40040,93981
21-01-2019,62655,44027,106682
22-01-2019,65085,44321,109406
23-01-2019,65993,44631,110624
24-01-2019,67581,45916,113497
25-01-2019,65267,45608,110875
26-01-2019,56541,41631,98172
27-01-2019,55385,39982,95367
28-01-2019,63910,43104,107014
29-01-2019,65092,43515,108607
30-01-2019,64701,44097,108798
31-01-2019,66245,44154,110399
01-02-2019,62613,43488,106101
02-02-2019,55339,40202,95541
03-02-2019,53083,40174,93257
04-02-2019,65113,44456,109569
05-02-2019,64151,43047,107198
06-02-2019,63614,42504,106118
07-02-2019,64536,42280,106816
08-02-2019,62394,41043,103437
09-02-2019,55834,38569,94403
10-02-2019,52915,37014,89929
11-02-2019,62172,41467,103639
12-02-2019,63724,41827,105551
13-02-2019,62541,40522,103063
14-02-2019,61732,40254,101986
15-02-2019,57649,39170,96819
16-02-2019,51126,35248,86374
17-02-2019,49619,35039,84658
18-02-2019,59833,38843,98676
19-02-2019,61270,40805,102075
20-02-2019,61670,40756,102426
21-02-2019,61486,41335,102821
22-02-2019,59084,41094,100178
23-02-2019,51528,37087,88615
24-02-2019,50007,35492,85499
25-02-2019,59690,39340,99030
26-02-2019,59220,39186,98406
27-02-2019,58384,38683,97067
28-02-2019,58337,38856,97193
01-03-2019,56882,39639,96521
