Production DK areas in MWh,,,
Data was last updated 11-01-2018,,,
,DK1,DK2,DK
01-01-2016,34900,19219,54119
02-01-2016,89839,32988,122827
03-01-2016,99606,34215,133821
04-01-2016,97470,37667,135137
05-01-2016,84884,34580,119464
06-01-2016,83066,33985,117051
07-01-2016,84420,41247,125667
08-01-2016,78332,36007,114339
09-01-2016,64008,28062,92070
10-01-2016,72193,30373,102566
11-01-2016,58616,23481,82097
12-01-2016,60650,24232,84882
13-01-2016,58570,26597,85167
14-01-2016,71134,29363,100497
15-01-2016,68287,32765,101052
16-01-2016,62130,25599,87729
17-01-2016,55216,28319,83535
18-01-2016,73650,29738,103388
19-01-2016,70292,38301,108593
20-01-2016,69451,31904,101355
21-01-2016,73643,32060,105703
22-01-2016,79338,37481,116819
23-01-2016,46393,29465,75858
24-01-2016,52838,29204,82042
25-01-2016,61636,31362,92998
26-01-2016,82339,34338,116677
27-01-2016,86332,35830,122162
28-01-2016,81682,35275,116957
29-01-2016,90544,38332,128876
30-01-2016,78672,34132,112804
31-01-2016,72465,35545,108010
01-02-2016,72583,33135,105718
02-02-2016,91726,40207,131933
03-02-2016,82544,34923,117467
04-02-2016,66225,34317,100542
05-02-2016,52270,28637,80907
06-02-2016,80409,31160,111569
07-02-2016,78821,31762,110583
08-02-2016,85426,37864,123290
09-02-2016,59402,33991,93393
10-02-2016,31277,29292,60569
11-02-2016,31270,21010,52280
12-02-2016,36565,21823,58388
13-02-2016,32085,22560,54645
14-02-2016,55368,30517,85885
15-02-2016,55041,31018,86059
16-02-2016,55582,26064,81646
17-02-2016,67224,31779,99003
18-02-2016,50592,25547,76139
19-02-2016,52302,27624,79926
20-02-2016,77082,39058,116140
21-02-2016,66939,33378,100317
22-02-2016,72059,40247,112306
23-02-2016,75975,40135,116110
24-02-2016,72240,39603,111843
25-02-2016,57269,30672,87941
26-02-2016,57031,30666,87697
27-02-2016,34425,26274,60699
28-02-2016,31549,26456,58005
29-02-2016,38999,32180,71179
01-03-2016,69689,33353,103042
02-03-2016,56807,33977,90784
03-03-2016,46200,32597,78797
04-03-2016,43623,28674,72297
05-03-2016,63609,30658,94267
06-03-2016,39102,24972,64074
07-03-2016,43659,32270,75929
08-03-2016,45014,32035,77049
09-03-2016,53593,33688,87281
10-03-2016,50304,34678,84982
11-03-2016,46914,33119,80033
12-03-2016,43354,28546,71900
13-03-2016,38224,27343,65567
14-03-2016,39374,28169,67543
15-03-2016,42367,32029,74396
16-03-2016,34119,28507,62626
17-03-2016,45397,29363,74760
18-03-2016,37437,26723,64160
19-03-2016,45544,28211,73755
20-03-2016,62082,25261,87343
21-03-2016,68940,33401,102341
22-03-2016,54261,23503,77764
23-03-2016,49524,19420,68944
24-03-2016,43061,20292,63353
25-03-2016,51115,20519,71634
26-03-2016,63142,22363,85505
27-03-2016,63599,25537,89136
28-03-2016,74765,28106,102871
29-03-2016,75645,22948,98593
30-03-2016,45356,26002,71358
31-03-2016,58387,22745,81132
01-04-2016,47499,21641,69140
02-04-2016,49916,20279,70195
03-04-2016,34333,15005,49338
04-04-2016,45434,15100,60534
05-04-2016,43852,14948,58800
06-04-2016,59939,23818,83757
07-04-2016,65787,31638,97425
08-04-2016,59154,24926,84080
09-04-2016,37993,17773,55766
10-04-2016,41393,18493,59886
11-04-2016,50204,25453,75657
12-04-2016,50822,23320,74142
13-04-2016,39295,18206,57501
14-04-2016,38945,16322,55267
15-04-2016,41991,15305,57296
16-04-2016,46015,18100,64115
17-04-2016,78897,33179,112076
18-04-2016,80270,30265,110535
19-04-2016,90668,33460,124128
20-04-2016,63429,27382,90811
21-04-2016,68659,25244,93903
22-04-2016,59728,23780,83508
23-04-2016,45409,19510,64919
24-04-2016,37437,18360,55797
25-04-2016,46972,22876,69848
26-04-2016,73290,24963,98253
27-04-2016,71325,21361,92686
28-04-2016,53358,22278,75636
29-04-2016,63522,24729,88251
30-04-2016,53172,14483,67655
01-05-2016,26292,9971,36263
02-05-2016,54718,10722,65440
03-05-2016,51772,16079,67851
04-05-2016,43100,15097,58197
05-05-2016,23941,10546,34487
06-05-2016,40720,15271,55991
07-05-2016,51153,14889,66042
08-05-2016,42943,13319,56262
09-05-2016,41973,13329,55302
10-05-2016,34528,11186,45714
11-05-2016,37585,13850,51435
12-05-2016,35732,17412,53144
13-05-2016,37821,7914,45735
14-05-2016,46555,14382,60937
15-05-2016,50723,16861,67584
16-05-2016,58403,23702,82105
17-05-2016,57576,16791,74367
18-05-2016,51270,11310,62580
19-05-2016,45326,9499,54825
20-05-2016,47157,12205,59362
21-05-2016,33443,9390,42833
22-05-2016,35181,13270,48451
23-05-2016,31411,7531,38942
24-05-2016,39505,10551,50056
25-05-2016,51003,6965,57968
26-05-2016,38741,5904,44645
27-05-2016,38638,6731,45369
28-05-2016,24248,7327,31575
29-05-2016,31447,10974,42421
30-05-2016,53556,20542,74098
31-05-2016,52749,15037,67786
01-06-2016,41967,14327,56294
02-06-2016,36648,13300,49948
03-06-2016,26831,8465,35296
04-06-2016,16196,4944,21140
05-06-2016,15364,5161,20525
06-06-2016,36441,9388,45829
07-06-2016,35716,5974,41690
08-06-2016,50125,9477,59602
09-06-2016,41607,6021,47628
10-06-2016,47677,12641,60318
11-06-2016,27737,5576,33313
12-06-2016,26291,7041,33332
13-06-2016,53035,13470,66505
14-06-2016,50418,8462,58880
15-06-2016,29511,6620,36131
16-06-2016,28251,6188,34439
17-06-2016,34578,11070,45648
18-06-2016,52646,14837,67483
19-06-2016,59746,13924,73670
20-06-2016,59368,13842,73210
21-06-2016,40036,11668,51704
22-06-2016,34887,9193,44080
23-06-2016,28854,8734,37588
24-06-2016,29447,7278,36725
25-06-2016,17177,7889,25066
26-06-2016,35729,11436,47165
27-06-2016,44711,14264,58975
28-06-2016,25918,13768,39686
29-06-2016,33173,14592,47765
30-06-2016,45254,9184,54438
01-07-2016,45760,14595,60355
02-07-2016,56247,10297,66544
03-07-2016,48014,12822,60836
04-07-2016,47325,11028,58353
05-07-2016,32939,8526,41465
06-07-2016,65897,21668,87565
07-07-2016,50543,13969,64512
08-07-2016,35157,10194,45351
09-07-2016,39815,15678,55493
10-07-2016,33533,11909,45442
11-07-2016,49556,16675,66231
12-07-2016,50189,17385,67574
13-07-2016,46150,10543,56693
14-07-2016,37176,13457,50633
15-07-2016,49218,19946,69164
16-07-2016,39134,10771,49905
17-07-2016,28260,8438,36698
18-07-2016,31041,9056,40097
19-07-2016,31750,7281,39031
20-07-2016,36659,7122,43781
21-07-2016,40964,10605,51569
22-07-2016,36783,9224,46007
23-07-2016,32451,6167,38618
24-07-2016,31233,6423,37656
25-07-2016,44509,6751,51260
26-07-2016,47552,7189,54741
27-07-2016,47383,6507,53890
28-07-2016,43169,8020,51189
29-07-2016,38743,11686,50429
30-07-2016,34604,12948,47552
31-07-2016,32025,8406,40431
01-08-2016,47205,13150,60355
02-08-2016,39404,12158,51562
03-08-2016,46833,17506,64339
04-08-2016,54725,18368,73093
05-08-2016,41914,14889,56803
06-08-2016,57339,18466,75805
07-08-2016,48135,16723,64858
08-08-2016,68806,23317,92123
09-08-2016,68002,22365,90367
10-08-2016,57262,19586,76848
11-08-2016,41147,15551,56698
12-08-2016,41612,13925,55537
13-08-2016,58002,19708,77710
14-08-2016,41791,14500,56291
15-08-2016,41224,13687,54911
16-08-2016,33443,12784,46227
17-08-2016,34341,13171,47512
18-08-2016,44402,13323,57725
19-08-2016,31853,11415,43268
20-08-2016,26773,10212,36985
21-08-2016,30461,11600,42061
22-08-2016,41043,14570,55613
23-08-2016,32735,12360,45095
24-08-2016,37722,11798,49520
25-08-2016,40886,16617,57503
26-08-2016,54160,16060,70220
27-08-2016,29160,9670,38830
28-08-2016,37446,14984,52430
29-08-2016,60486,23669,84155
30-08-2016,52749,14587,67336
31-08-2016,45125,9460,54585
01-09-2016,44654,7599,52253
02-09-2016,43753,8537,52290
03-09-2016,36995,9167,46162
04-09-2016,17127,6407,23534
05-09-2016,31285,9766,41051
06-09-2016,48736,8952,57688
07-09-2016,36261,7265,43526
08-09-2016,37834,7528,45362
09-09-2016,37099,7309,44408
10-09-2016,35057,10991,46048
11-09-2016,33677,10782,44459
12-09-2016,38275,13289,51564
13-09-2016,42427,11099,53526
14-09-2016,38632,14849,53481
15-09-2016,37635,12398,50033
16-09-2016,35766,17301,53067
17-09-2016,29069,20221,49290
18-09-2016,20385,15723,36108
19-09-2016,25968,11702,37670
20-09-2016,27382,11787,39169
21-09-2016,29017,13123,42140
22-09-2016,36643,12955,49598
23-09-2016,43899,13091,56990
24-09-2016,35251,12603,47854
25-09-2016,41474,13567,55041
